venue,teamplaying,groundavgscore,teamavgscore,matchscore
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,207
Maharashtra Cricket Association Stadium,Mumbai Indians,170,173,184
Saurashtra Cricket Association Stadium,Gujarat Lions,154,149,183
Holkar Cricket Stadium,Rising Pune Supergiant,129,158,163
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,157
"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,144,149,135
Wankhede Stadium,Kolkata Knight Riders,166,159,178
Holkar Cricket Stadium,Royal Challengers Bangalore,129,208,148
Maharashtra Cricket Association Stadium,Delhi Daredevils,170,140,205
Wankhede Stadium,Sunrisers Hyderabad,166,153,158
Eden Gardens,Kings XI Punjab,164,171,170
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,142
Saurashtra Cricket Association Stadium,Rising Pune Supergiant,154,158,171
Eden Gardens,Kolkata Knight Riders,164,159,172
Feroz Shah Kotla,Delhi Daredevils,166,140,188
Wankhede Stadium,Gujarat Lions,166,149,176
M Chinnaswamy Stadium,Rising Pune Supergiant,184,158,161
Feroz Shah Kotla,Delhi Daredevils,166,140,168
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,159
Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,154,208,213
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,191
Holkar Cricket Stadium,Kings XI Punjab,129,171,198
Eden Gardens,Kolkata Knight Riders,164,159,187
Wankhede Stadium,Mumbai Indians,166,173,142
Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,170,153,176
Saurashtra Cricket Association Stadium,Kings XI Punjab,154,171,188
Eden Gardens,Kolkata Knight Riders,164,159,131
Wankhede Stadium,Rising Pune Supergiant,166,158,160
Maharashtra Cricket Association Stadium,Rising Pune Supergiant,170,158,182
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,134
Eden Gardens,Delhi Daredevils,164,140,160
"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,176,153,207
Maharashtra Cricket Association Stadium,Rising Pune Supergiant,170,158,157
Saurashtra Cricket Association Stadium,Gujarat Lions,154,149,153
"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,176,140,67
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,209
Wankhede Stadium,Royal Challengers Bangalore,166,208,162
Maharashtra Cricket Association Stadium,Gujarat Lions,170,149,161
Feroz Shah Kotla,Sunrisers Hyderabad,166,153,185
Eden Gardens,Kolkata Knight Riders,164,159,155
Feroz Shah Kotla,Gujarat Lions,166,149,208
M Chinnaswamy Stadium,Kings XI Punjab,184,171,138
"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,144,158,148
Feroz Shah Kotla,Mumbai Indians,166,173,212
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,158
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,189
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,144,173,138
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,167
Green Park,Gujarat Lions,148,149,195
Wankhede Stadium,Kings XI Punjab,166,171,230
Feroz Shah Kotla,Delhi Daredevils,166,140,168
Green Park,Gujarat Lions,148,149,154
Eden Gardens,Mumbai Indians,164,173,173
Maharashtra Cricket Association Stadium,Kings XI Punjab,170,171,73
Feroz Shah Kotla,Royal Challengers Bangalore,166,208,161
Wankhede Stadium,Rising Pune Supergiant,166,158,162
M Chinnaswamy Stadium,Sunrisers Hyderabad,184,153,128
M Chinnaswamy Stadium,Kolkata Knight Riders,184,159,107
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,144,173,129
Wankhede Stadium,Mumbai Indians,166,173,165
Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,174,140,166
Eden Gardens,Royal Challengers Bangalore,164,208,176
Rajiv Gandhi International Stadium,Rajasthan Royals,165,185,125
MA Chidambaram Stadium,Kolkata Knight Riders,148,159,202
Sawai Mansingh Stadium,Rajasthan Royals,151,185,153
Rajiv Gandhi International Stadium,Mumbai Indians,165,173,147
M.Chinnaswamy Stadium,Kings XI Punjab,149,171,155
Wankhede Stadium,Mumbai Indians,166,173,194
Eden Gardens,Kolkata Knight Riders,164,159,138
M.Chinnaswamy Stadium,Rajasthan Royals,149,185,217
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,174,171,197
Eden Gardens,Kolkata Knight Riders,164,159,200
Wankhede Stadium,Mumbai Indians,166,173,213
Sawai Mansingh Stadium,Rajasthan Royals,151,185,160
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,174,171,193
Maharashtra Cricket Association Stadium,Chennai Super Kings,170,137,204
Eden Gardens,Kolkata Knight Riders,164,159,191
M.Chinnaswamy Stadium,Delhi Daredevils,149,140,174
Rajiv Gandhi International Stadium,Chennai Super Kings,165,137,182
Sawai Mansingh Stadium,Mumbai Indians,151,173,167
Arun Jaitley Stadium,Kings XI Punjab,144,171,143
Wankhede Stadium,Sunrisers Hyderabad,166,153,118
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,205
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,165,153,132
Arun Jaitley Stadium,Delhi Daredevils,144,140,219
Maharashtra Cricket Association Stadium,Chennai Super Kings,170,137,169
Sawai Mansingh Stadium,Sunrisers Hyderabad,151,153,151
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,175
Maharashtra Cricket Association Stadium,Chennai Super Kings,170,137,211
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,167
Arun Jaitley Stadium,Delhi Daredevils,144,140,196
Eden Gardens,Chennai Super Kings,164,137,177
Holkar Cricket Stadium,Kings XI Punjab,129,171,174
Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,170,208,127
Rajiv Gandhi International Stadium,Delhi Daredevils,165,140,163
Wankhede Stadium,Mumbai Indians,166,173,181
Holkar Cricket Stadium,Rajasthan Royals,129,185,152
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,165,153,146
Sawai Mansingh Stadium,Rajasthan Royals,151,185,158
Eden Gardens,Mumbai Indians,164,173,210
Arun Jaitley Stadium,Delhi Daredevils,144,140,187
Sawai Mansingh Stadium,Chennai Super Kings,151,137,176
Holkar Cricket Stadium,Kolkata Knight Riders,129,159,245
Arun Jaitley Stadium,Delhi Daredevils,144,140,181
Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,170,153,179
Wankhede Stadium,Mumbai Indians,166,173,168
Holkar Cricket Stadium,Kings XI Punjab,129,171,88
Eden Gardens,Rajasthan Royals,164,185,142
Wankhede Stadium,Mumbai Indians,166,173,186
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,218
Arun Jaitley Stadium,Delhi Daredevils,144,140,162
Sawai Mansingh Stadium,Rajasthan Royals,151,185,164
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,165,153,172
Arun Jaitley Stadium,Delhi Daredevils,144,140,174
Maharashtra Cricket Association Stadium,Kings XI Punjab,170,171,153
Wankhede Stadium,Sunrisers Hyderabad,166,153,139
Eden Gardens,Kolkata Knight Riders,164,159,169
Eden Gardens,Sunrisers Hyderabad,164,153,174
Wankhede Stadium,Sunrisers Hyderabad,166,153,178
MA Chidambaram Stadium,Royal Challengers Bangalore,148,208,70
Eden Gardens,Sunrisers Hyderabad,164,153,181
Wankhede Stadium,Delhi Capitals,166,157,213
Sawai Mansingh Stadium,Kings XI Punjab,151,171,184
Arun Jaitley Stadium,Delhi Capitals,144,157,147
Eden Gardens,Kolkata Knight Riders,164,159,218
M.Chinnaswamy Stadium,Mumbai Indians,149,173,187
Rajiv Gandhi International Stadium,Rajasthan Royals,165,185,198
Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,174,173,176
Arun Jaitley Stadium,Kolkata Knight Riders,144,159,185
Rajiv Gandhi International Stadium,Sunrisers Hyderabad,165,153,231
MA Chidambaram Stadium,Chennai Super Kings,148,137,175
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,174,171,166
Sawai Mansingh Stadium,Royal Challengers Bangalore,151,208,158
Wankhede Stadium,Mumbai Indians,166,173,170
Arun Jaitley Stadium,Delhi Capitals,144,157,129
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,205
MA Chidambaram Stadium,Chennai Super Kings,148,137,160
Rajiv Gandhi International Stadium,Mumbai Indians,165,173,136
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,149
Sawai Mansingh Stadium,Rajasthan Royals,151,185,139
Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,174,153,150
MA Chidambaram Stadium,Kolkata Knight Riders,148,159,108
Wankhede Stadium,Kings XI Punjab,166,171,197
Sawai Mansingh Stadium,Rajasthan Royals,151,185,151
Eden Gardens,Kolkata Knight Riders,164,159,178
Wankhede Stadium,Mumbai Indians,166,173,187
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,174,171,173
Eden Gardens,Kolkata Knight Riders,164,159,161
Rajiv Gandhi International Stadium,Delhi Capitals,165,157,155
Wankhede Stadium,Royal Challengers Bangalore,166,208,171
Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,174,171,182
Rajiv Gandhi International Stadium,Chennai Super Kings,165,137,132
Arun Jaitley Stadium,Mumbai Indians,144,173,168
Eden Gardens,Royal Challengers Bangalore,164,208,213
Sawai Mansingh Stadium,Mumbai Indians,151,173,161
Arun Jaitley Stadium,Kings XI Punjab,144,171,163
Rajiv Gandhi International Stadium,Kolkata Knight Riders,165,159,159
M.Chinnaswamy Stadium,Royal Challengers Bangalore,149,208,161
Sawai Mansingh Stadium,Rajasthan Royals,151,185,191
